animal-products
Product discription (HS),Weighted average,,,,Total Average
,413,3696,159,0,0
Milk and cream powder unsweetened exceeding 1.5% fat,3007,3696,160,1,3696.271007
,277,3696,161,2,0
,413,3706,162,0,0
Milk and cream powder sweetened exceeding 1.5% fat,3007,3706,163,1,3706.271007
,287,1700,164,2,0
,413,1505,165,0,0
"Milk and cream unsweetened, nes",1000,1229,166,1,1229.36213
,92,1432,167,2,0
,137,1456,168,0,0
Milk and cream nes sweetened,1203,1484,169,1,1483.508403
,116,1033,170,2,0
,165,986,171,0,0
"Yogurt concentratd o not,sweetend o not,flavourd o contg fruit o cocoa",752,924,172,1,924.0677517
,69,1186,173,2,0
,103,1210,174,0,0
"Buttermilk,curdled milk & cream,kephir & ferm or acid milk & cream nes",1013,1246,175,1,1245.731364
,93,642,176,2,0
,139,587,177,0,0
Whey whether or not concentrated or sweetened,410,504,178,1,503.990675
,38,846,179,2,0
,56,877,180,0,0
Products consisting of natural milk constituents sweetened or not nes,752,924,181,1,924.0677517
,69,3691,182,2,0
,103,3946,183,0,0
Butter,3519,4326,184,1,4326.034262
,324,2821,185,2,0
,483,2682,186,0,0
"Cheese, fresh (including whey cheese) unfermented, and curd",2014,2476,187,1,2475.606724
,185,3658,188,2,0
,276,3783,189,0,0
"Cheese, grated or powdered, of all kinds",3196,3945,190,1,3945.407499
,310,3945,191,2,0
,439,3945,192,0,0
"Cheese processed, not grated or powdered",3196,3945,193,1,3945.407499
,310,3945,194,2,0
,439,3945,195,0,0
"Cheese, blue-veined",3196,3945,196,1,3945.407499
,310,3945,197,2,0
,439,3945,198,0,0
Cheese nes,3196,3945,199,1,3945.407499
,310,1955,200,2,0
,439,1775,201,0,0
"Eggs, bird, in shell, fresh, preserved or cooked",1206,1566,202,1,1565.858338
,130,2772,203,2,0
,230,2922,204,0,0
Egg yolks dried,2412,3152,205,1,3151.716676
,281,1946,206,2,0
,459,1800,207,0,0
Egg yolks nes,1206,1571,208,1,1570.858338
,135,2151,209,2,0
,230,2223,210,0,0
"Eggs, bird, not in shell, dried",1786,2334,211,1,2333.864205
,207,1887,212,2,0
,340,1830,213,0,0
"Eggs, bird, not in shell nes",1340,1745,214,1,1745.398153
,150,9347,215,2,0
,255,10574,216,0,0
"Bristles, hair and waste of pigs, hogs or boars",8941,11977,217,1,11977.08507
,1378,74101,218,2,0
,1658,77389,219,0,0
Horsehair&waste put up or not as a layer with or without supg material,71065,78533,220,1,78532.8293
,4666,977740,221,2,0
,2802,1012196,222,0,0
Semen bovine,970272,1064392,223,1,1064392.105
,39123,95848,224,2,0
,54998,56913,225,0,0
"Turkey meat and meat offal prepared or preserved, excluding livers",1728,2217,226,1,2217.382012
,187,2217,227,2,0
,303,2217,228,0,0
"Dom fowl,duck,goose&guinea fowl meat&meat offal prep/presvd exc livers",1728,2217,229,1,2217.382012
,187,4909,230,2,0
,303,5422,231,0,0
Hams and cuts thereof of swine prepared or preserved,4419,5939,232,1,5939.085584
,701,5488,233,2,0
,819,5412,234,0,0
Shoulders and cut thereof of swine prepared or preserved,3968,5328,235,1,5327.954402
,624,2237,236,2,0
,736,1749,237,0,0
"Swine meat&meat offal nes/exc livers/ incl mixtures,prepard o preservd",878,1176,238,1,1175.568562
,135,16084,239,2,0
,163,16586,240,0,0
"Bovine meat and meat offal nes,excluding livers, prepared or preserved",15786,17318,241,1,17317.58068
,637,7311,242,2,0
,895,6908,243,0,0
"Bovine skins, whole, raw",5780,6341,244,1,6340.774506
,233,7786,245,2,0
,328,7857,246,0,0
"Bovine hides, whole, fresh or wet-salted",7225,7938,247,1,7938.468133
,304,7938,248,2,0
,410,7938,249,0,0
"Butts and bends, bovine, fresh or wet-salted",7225,7938,250,1,7938.468133
,304,7938,251,2,0
,410,7938,252,0,0
"Hide sections, bovine, nes, fresh or wet-salted",7225,7938,253,1,7938.468133
,304,6493,254,2,0
,410,6423,255,0,0
"Bovine hides, raw, nes",5780,6341,256,1,6340.774506
,233,12483,257,2,0
,328,12731,258,0,0
"Equine hides and skins, raw",11922,13079,259,1,13078.91306
,481,4574,260,2,0
,676,4184,261,0,0
"Sheep or lamb skins, raw, with wool on, nes",3418,3522,262,1,3522.231901
,91,3702,263,2,0
,14,3712,264,0,0
"Sheep or lamb skins, pickled, without wool on",3597,3713,265,1,3712.875685
,101,3713,266,2,0
,15,3713,267,0,0
"Sheep or lamb skins, raw, o/t pickled, without wool on",3597,3713,268,1,3712.875685
,101,115,269,2,0
,15,15,270,0,0
"Goat or kid hides and skins, raw, nes",0,0,271,1,0
,0,14450,272,2,0
,0,15108,273,0,0
"Bovine skin leather, whole",14450,15927,274,1,15926.93627
,658,15927,275,2,0
,819,15917,276,0,0
"Bovine leather, vegetable pre-tanned, nes",14450,15917,277,1,15916.93627
,648,15917,278,2,0
,819,15897,279,0,0
"Bovine leather, otherwise pre-tanned, nes",14450,15897,280,1,15896.93627
,628,15897,281,2,0
,819,15897,282,0,0
"Bovine and equine leather, tanned or retanned, nes",14450,15897,283,1,15896.93627
,628,15897,284,2,0
,819,15937,285,0,0
"Bovine and equine leather, full/split grains, nes",14450,15937,286,1,15936.93627
,668,31293,287,2,0
,819,31902,288,0,0
"Bovine and equine leather, nes",29806,32772,289,1,32772.28266
,1277,6963,290,2,0
,1689,5821,291,0,0
"Sheep or lamb skin leather, vegetable pre-tanned",3997,4148,292,1,4147.63965
,134,4148,293,2,0
,16,4148,294,0,0
"Sheep or lamb skin leather, otherwise pre-tanned",3997,4148,295,1,4147.63965
,134,4148,296,2,0
,16,4148,297,0,0
"Sheep or lamb skin leather, tanned or retanned, nes",3997,4148,298,1,4147.63965
,134,4148,299,2,0
,16,4148,300,0,0
"Sheep or lamb skin leather, nes",3997,4148,301,1,4147.63965
,134,151,302,2,0
,16,16,303,0,0
"Goat or kid skin leather, vegetable pre-tanned",0,0,304,1,0
,0,0,305,2,0
,0,0,306,0,0
"Goat or kid skin leather, otherwise pre-tanned",0,0,307,1,0
,0,0,308,2,0
,0,0,309,0,0
"Goat or kid skin leather, tanned or retanned, nes",0,0,310,1,0
,0,0,311,2,0
,0,0,312,0,0
"Goat or kid skin leather, nes",0,0,313,1,0
,0,11921,314,2,0
,0,13759,315,0,0
"Swine leather, nes",11921,15970,316,1,15969.69863
,1837,4048,317,2,0
,2211,2211,318,0,0
